"-- Select --","Selecione..."
"--Select--","Selecione..."
"Add New Option","Criar Opção"
"Add Selection","Adicionar Seleção"
"As Low as","Melhor Preço"
"As low as","Melhor preço"
"Bundle Items","Produtos do Pacote"
"Bundle Product","Pacote de Produtos"
"Buy %1$s with %2$s discount each","Compre %1$s com %2$s desconto cada"
"Catalog Product View (Bundle)","Ver Catálogo de Produto (Embrulhar)"
"Checkbox","Checkbox"
"Choose a selection...","Selecione..."
"Close","Fechar"
"Default","Padrão"
"Default Qty","Qtd Padrão"
"Default Title","Título Padrão"
"Drop-down","Combobox"
"Dynamic","Dinâmico"
"Excl. Tax","Excl. Imposto"
"Fixed","Fixo"
"From","De"
"From:","De:"
"Gift Message","Mensagem Presente"
"Incl. Tax","Incl. Imposto"
"Input Type","Tipo Input"
"Is Required","Obrigatório"
"Message:","Mensagem:"
"Multiple Select","Múltipla Seleção"
"N/A","N/A"
"No options of this product are available.","Não há opções disponíveis para este produto."
"None","Nenhum"
"Percent","Percentual"
"Percent Discount","Percentual Desconto"
"Please Select Products to Add","Selecione Produtos para Adicionar"
"Please enter search conditions to view products.","Por favor informe condições de pesquisa para ver produtos."
"Please select options for product.","Por favor selecione opções para produto."
"Please select products to add","Por favor selecione produtos para adicionar"
"Please specify product option(s)","Selecione as opções do conjunto"
"Position","Posição"
"Price Range","Faixa de Preço"
"Price Type","Tipo de Preço"
"Price as configured","Preço do Conjunto"
"Qty:","Qtd:"
"Radio Buttons","Radio Buttons"
"Required options are not selected.","Opções obrigatórias não selecionada."
"Selected required options are not available.","Selecionar opções necessárias não disponível."
"Separately","Separadamente"
"Ship Bundle Items","Itens Enviar Embrulho"
"Shipment","Entrega"
"Store View Title","Título Visão"
"There is no defined renderer for ""%s"" option type.","Esta definição não faz parte ""%s"" tipo opção."
"This product is also part of bundle(s)","Este produto faz parte da embalagem(s)"
"To","Para"
"To:","Para:"
"Together","Junto"
"User Defined Qty","Usar Qtd Definida"
