"Add New Row","Adicionar"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Alfanuméricos, traços e underlines são recomendados para nome de arquivos. Caracteres impróprios serão adicionados com \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","Ocorreu um erro enquanto era recuperado conteúdo. Entre em contato com o administrador da loja."
"An error occurred while getting the requested content.","Ocorreu um erro enquanto era recuperado conteúdo."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro enquanto era recuperado conteúdo. Entre em contato com o administrador da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao tentar salvar o arquivo(s)."
"Availability:","Disponível:"
"Back","Voltar"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Não foi possível se conectar ao servidor, erro: %s."
"Catalog Product View (Downloadable)","Visualizar Produtos do Catálogo (Digitais)"
"Customer My Account Downloadable Items","Cliente Minha Conta Digital Itens"
"Date","Data"
"Default Link Title","Link Título Padrão"
"Default Maximum Number of Downloads","Número Máximo de Downloads Padrão"
"Default Sample Title","Título Exemplo Padrão"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar finalizar pedido como visitante se o carrinho tiver itens para download"
"Downloadable Information","Informação Digital"
"Downloadable Product","Produto Digital"
"Downloadable Product Options","Opções de Produtos Digital"
"Downloadable product Section","Seção Produtos Digital"
"Excl. Tax","Excl. Imposto"
"File","Arquivo"
"File does not exists","Arquivo não existe"
"From:","De:"
"Gift Message","Mensagem Presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">Meus Produtos Digitais</a>"
"Guest checkout will only work with shareable","Finalizar pedido como visitante apenas funciona com partilhável"
"In Stock","Em Estoque"
"Incl. Tax","Incl. Imposto"
"Invalid download URL host.","Inválido URL host download."
"Invalid download URL scheme.","Inválido scheme URL download."
"Invalid download link type.","Inválido tipo de link download."
"Invoiced","Faturado"
"Link has expired.","Link já expirou."
"Link is not available.","Link não esta disponível"
"Links can be purchased separately","Links podem ser comprados separadamente"
"Max. Downloads","Max. Downloads"
"Message:","Mensagem:"
"Move to Wishlist","Mover para Favoritos"
"My Downloadable Products","Meus Produtos Digitais"
"Open Links in New Window","Abrir links em nova janela"
"Order #","Pedido #"
"Order Item Status to Enable Downloads","Status do Pedido de item habilitado Downloads"
"Ordered","Ordem"
"Out of Stock","Sem estoque"
"Pending","Pendente"
"Please log in to download your product.","Por favor se identifique para baixar o produto."
"Please set resource file and link type.","Por favor marque a fonte do arquivo e o tipo de link."
"Please specify product link(s).","Por favor especifique o link do produto."
"Price","Preço"
"Qty","Qtd"
"Refunded","Reembolsar"
"Remaining Downloads","Downloads Disponíveis"
"Remove Item","Excluir Item"
"Requested link does not exist.","Link requisitado não existe."
"Sample","Exemplo"
"Shareable","Compartilhar"
"Shipped","Enviado"
"Sorry, the was an error getting requested content. Please contact store owner.","Desculpe, ocorreu um erro ao pegar conteúdo solicitado. Por favor entre em contato com a loja."
"Sorry, there was an error getting requested content","Desculpe, ocorreu um erro ao pegar conteúdo solicitado"
"Sorry, there was an error getting requested content. Please contact store owner.","Desculpe, ocorreu um erro ao pegar conteúdo solicitado. Por favor entre em contato com a loja."
"Sort Order","Ordenar"
"Start Download","Iniciar Download"
"Status","Status"
"The file does not exist.","O arquivo não existe."
"The link has expired.","O link já expirou."
"The link is not available.","O link não está disponível."
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimitado"
"View Order","Visualizar Pedido"
"You have not purchased any downloadable products yet.","Você ainda não comprou nenhum produto digital."
"attachment","anexar"
"download","download"
"inline","na linha"
"sample","exemplo"
