"A joint field with this alias (%s) is already declared.","Um campo em conjunto com este alias (%s) já foi declarado."
"Add Option","Adicionar Opção"
"An error occurred while loading a record, aborting. Error: %s","Ocorreu um erro enquanto carregava os dados, abortando. Erro: %s"
"An error occurred while loading the collection, aborting. Error: %s","Ocorreu um erro enquanto carregava a coleção, abortando. Erro: %s"
"An error occurred while saving a record, aborting. Error: ","Ocorreu um erro enquanto salvava o registro, abortando. Erro: "
"Attempt to add an invalid object.","Tentativa de adicionar um objeto inválido."
"Attribute '%s' used in configurable products.","Atributo '%s' usado com produtos configurados."
"Attribute Code","Código do Atributo"
"Attribute Label","Legenda"
"Attribute Properties","Propriedades do Atributo"
"Attribute set with the ""%s"" name already exists.","Atributo setado com ""%s"" nome já existe."
"Attribute used in configurable products.","Atributo usado com produtos configuráveis."
"Attribute with the same code","Atributo com o mesmo código"
"Catalog Input Type for Store Owner","Formato do Campo"
"Data integrity: No header row found for attribute.","Integridade de dados: nenhum cabeçalho encontrado para o atributo."
"Date","Data"
"Decimal Number","Numérico Decimal"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Produto padrão listado na ordem não está disponível na lista de ordem"
"Default Value","Valor Padrão"
"Default option value is not defined.","Valor da opção padrão não foi definida."
"Delete","Excluir"
"Dropdown","Dropdown"
"Email","Email"
"Entity collection expected.","Entidade coleção esperada."
"Entity collections expected.","Entidade coleção esperada."
"Entity is not initialized.","Entidade não foi inicializada."
"Failed to load node %s from config.","Falha ao carregar nódulo %s da configuração."
"For internal use. Must be unique with no spaces","Para uso interno. Precisa ser único e sem espaços"
"Form Element with the same attribute","Form Element com o mesmo atributo"
"Form Fieldset with the same code","Form Fieldset com o mesmo código"
"Form Type with the same code","Form Type com o mesmo código"
"Frontend label is not defined.","Frontend label não foi definido."
"Input Validation for Store Owner","Aplicar Validação de Campo"
"Integer Number","Numérico Inteiro"
"Invalid EAV attribute.","Inválido atributo EAV."
"Invalid alias, already exists in joined attributes","Inválido alias, já existe atributo unido"
"Invalid attribute name: %s.","Inválido atributo nome: %s."
"Invalid attribute requested: %s","Inválido atributo requisitado: %s."
"Invalid attribute type.","Tipo de atributo inválido."
"Invalid character encountered in increment ID: %s","Inválido carácter encontrado no incremento ID: %s"
"Invalid entity specified","Entidade especificada inválida"
"Invalid entity supplied.","Entidade fornecida inválida."
"Invalid entity supplied: %s.","Entidade fornecida inválida: %s."
"Invalid entity type.","Tipo de entidade inválido."
"Invalid entity_id, skipping the record.","Inválido entity_id, pulando registro."
"Invalid entity_type specified: %s","Inválido entity_type especificado: %s"
"Invalid foreign key.","Chave estrangeira inválida."
"Invalid form type.","Tipo de formulário inválido."
"Invalid joint fields.","Campos juntados inválidos."
"Invalid store specified","Loja especificada é inválida"
"Joined field or attribute expression with this alias is already declared","Juntar campo ou expressão de atributo com este alias é sempre declarado"
"Joined field with this alias (%s) is already declared","Juntar campo com alias (%s) é sempre declarado"
"Joined field with this alias is already declared.","Juntar campo com alias é sempre declarado."
"Joint field or attribute expression with this alias is already declared.","Junção de campos ou expressão de atributos com este alias já existe."
"Letters","Letras"
"Letters (a-z, A-Z) or Numbers (0-9)","Letras (a-z, A-Z) ou Números (0-9)"
"Loaded %d records","Carregado %d registros"
"Multiple Select","Múltiplas Seleções"
"No","Não"
"No options found in config node %s","Nenhuma opções encontrada na configuração de nódulo %s"
"None","Sem Validação"
"Not shared with other products","Não repetir o valor para outros produtos"
"Problem loading a record, aborting. Error: %s","Problema ao carregar registro, abortar. Erro: %s"
"Problem loading the collection, aborting. Error: %s","Problema carregar a coleção, abortar. Erro: %s"
"Problem saving a record, aborting. Error: ","Problema ao salvar registro, abortar. Erro: "
"Problem saving the collection, aborting. Error: %s","Problema ao salvar coleção, abortar. Erro: %s"
"Required","Obrigatório"
"Saved ","Salvo "
"Saved %d record(s).","Salvo %d registro(s)."
"Scope must not be changed, because the attribute is used in configurable products.","Escopo precisa ser alterado, porque o atributo usado eh produto configurável"
"System","Sistema"
"Text Area","Campo área de Texto"
"Text Field","Campo Texto"
"The attribute code \'%s\' is reserved by system. Please, try another attribute code.","O código do atributo \'%s\' é reservado pelo sistema. Tente outro código de atributo."
"The value of attribute ""%s"" must be unique.","O valor do atributo ""%s"" precisa ser único."
"This attribute is used in configurable products.","O atributo é usado em produtos configuráveis."
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor único (válido apenas para um produto)"
"Unknown parameter","Parâmetro desconhecido"
"URL","URL"
"Unique Value","Valor único"
"Unique Value (not shared with other products)","Valor Único (não compartilhado com outros produtos)"
"Unknown parameter.","Parâmetro desconhecido."
"Valid store_id is expected.","Esperado um valor valido store_id."
"Value of attribute ""%s"" must be unique","Valor do atributo ""%s"" precisa ser único"
"Values Required","Campo Obrigatório"
"Wrong attribute ID.","ID atributo errado."
"Wrong attribute group ID.","ID grupo atributo errado."
"Wrong attribute set ID.","ID setado atributo errado."
"Wrong entity ID.","ID entidade errado."
"Yes","Sim"
"Yes/No","Sim/Não"
