"Account Number","Número da Conta"
"Card Verification Number","Número de Verificação do Cartão"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Type: %s","Tipo do Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação do Cartão de Crédito"
"Debug Flag","Debug Flag"
"Demo Mode","Modo Demonstração"
"Enabled","Habilitado"
"Expiration Date","Data Expiração"
"Flo2Cash Payment Web Service","Flo2Cash Pagamento Web Service"
"For ""Authorize"" or ""Capture"" transactions only.","Apenas para transações ""Autorizar"" ou ""Capturar""."
"For ""Purchase"" transactions only.","Apenas para transações ""Compras""."
"Name on Card","Nome do Cartão"
"Name on the Card: %s","Nome do Cartão: %s"
"New Order Status","Nova Situação do Pedido"
"Password","Senha"
"Payment Action","Ação de Pagamento"
"Payment from Applicable Countries","Pagamento Permitido para Países"
"Payment from Specific Countries","Pagamento Específico para Países"
"Please Select","Selecione..."
"Sort Order","Ordem dos Pedidos"
"Title","Título"
"Username","Usuário"
"What is this?","O que é isso?"
