" Copy"," Copiar"
"<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","<!-- Essa tag serve para cancelar assinatura  --> Clique no link para cancelar assinatura <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Action","Ação"
"Add New Template","Criar Modelo"
"Add to Queue","Adicionar &agrave; Fila de Envio"
"Allow Guest Subscription","Permitir Assinatura de Visitantes"
"An error occurred while saving your subscription.","Ocorreu um erro ao tentar salvar sua assinatura."
"Are you sure that you want to delete this template?","Tem certeza que deseja excluir este modelo?"
"Are you sure that you want to strip all tags?","Tem certeza que deseja retirar todas as tags?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelado"
"Cannot mark as received subscriber.","Não foi possível marcar cancelamento como recebido."
"Confirmation Email Sender","Remetente de Confirmação"
"Confirmation Email Template","Modelo de Confirmação"
"Confirmation request has been sent.","Solicitação de confirmação foi enviado."
"Convert to Plain Text","Converter para Texto"
"Create Newsletter Template","Criar Modelo de Newsletter"
"Customer","Cliente"
"Customer First Name","Nome"
"Customer Last Name","Sobrenome"
"Customer My Account Newsletter Subscriptions","Cliente Minha Conta Newsletter Assinaturas"
"Date Added","Adicionado na Data"
"Date Updated","Date Atualização"
"Delete","Excluir"
"Delete Selected Problems","Excluir Problemas Selecionados"
"Delete Template","Excluir"
"Do you really want to cancel the queue?","Deseja realmente cancelar o envio?"
"Duplicate of template code.","Código de modelo duplicado."
"Edit Newsletter","Editar Newsletter"
"Edit Newsletter Template","Editar Modelo de Newsletter"
"Edit Queue","Editar Envio"
"Edit Template","Editar Modelo"
"Email","Email"
"Enter your email address","Informe seu endereço de email"
"Error Code","Código de Erro"
"Error Text","Mensagem de Erro"
"Guest","Visitante"
"ID","ID"
"Invalid queue selected.","Fila de envio selecionada é inválida."
"Invalid subscription ID.","ID da assinatura é inválido."
"Invalid subscription confirmation code.","Código de confirmação de assinatura é inválido."
"Message","Mensagem"
"Need to Confirm","Solicitar Confirmação"
"New Newsletter Template","Novo Modelo de Email"
"New Template","Novo Modelo"
"Newsletter","Newsletter"
"Newsletter Message Preview","Resumo da Mensagem da Newsletter"
"Newsletter Problem Reports","Relatório de Problemas"
"Newsletter Queue","Fila de Envio"
"Newsletter Section","Seção de Newsletter"
"Newsletter Sign-up:","Entrar na Newsletter:"
"Newsletter Subscribers","Assinaturas de Newsletter"
"Newsletter Subscription","Assinar Newsletter"
"Newsletter Subscriptions","Newsletter"
"Newsletter Templates","Modelos de Newsletter"
"Newsletter subscription confirmation","Confirmação de assinatura de Newsletter"
"Newsletter subscription success","Assinatura de Newsletter feita com sucesso"
"Newsletter unsubscription success","Cancelamento de Newsletter feita com sucesso"
"No Templates Found","Nenhum Modelo Encontrado"
"No problems found.","Nenhum problema encontrado."
"No subscribers selected","Nenhuma assinatura selecionada"
"Not Activated","Sem atividade"
"Not Sent","Não Enviado"
"Pause","Parar"
"Paused","Parado"
"Please enter a valid email address.","Por favor informe um email válido."
"Please enter new template name","Por favor informe um nome para o modelo"
"Please select subscriber(s)","Por favor selecione assinatura(s)"
"Preview","Visualizar"
"Preview Template","Visualizar"
"Processed","Processado"
"Queue Date Start","Iniciar Envio na Data"
"Queue Finish","Envio Finalizado"
"Queue Information","Informações de Envio"
"Queue Newsletter...","Enviar Newsletter..."
"Queue Start","Envio Iniciado"
"Queue Subject","Assunto de Envio"
"Recipients","Assinantes"
"Reset","Reiniciar"
"Resume","Resumir"
"Return HTML Version","Retornar Versão Html"
"Save And Resume","Salvar e Resumir"
"Save As","Salvar Como..."
"Save Newsletter","Enviar Newsletter"
"Save Template","Salvar"
"Save and Resume","Salvar e Continuar"
"Selected problem subscribers have been unsubscribed.","Problemas de assinatura cancelados com sucesso."
"Selected problems have been deleted.","Problemas excluídos com sucesso."
"Sender","Remetente"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Sending","Enviando"
"Sent","Enviar"
"Sign Up for Our Newsletter:","Assine Nossa Newsletter:"
"Sign up for our newsletter","Assine nossa newsletter"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Desculpe, mas o administrador negou assinatura para visitantes. Por favor <a href=""%s"">registre-se</a>."
"Sorry, but your can not subscribe email adress assigned to another user.","Desculpe, mas você não pode assinar usando endereço de e-mail de outro usuário."
"Start","Iniciar"
"Status","Status"
"Store","Loja"
"Store View","Visão"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe","Assinar"
"Subscribed","Ativo"
"Subscriber","Assinatura"
"Subscribers","Assinaturas"
"Subscribers From","Assinantes de"
"Subscription Options","Opções de Assinatura"
"Success Email Sender","Remetente de Email com Sucesso"
"Success Email Template","Modelo de Email com Sucesso"
"Template Content","Conteúdo do Modelo"
"Template Information","Informação de Modelo"
"Template Name","Nome do Modelo"
"Template Styles","Estilos do Modelo (CSS)"
"Template Subject","Assunto do Modelo"
"Template Type","Tipo do Modelo"
"Thank you for your subscription.","Obrigado por assinar a newsletter."
"The subscription has been removed.","A assinatura foi removida com sucesso."
"The subscription has been saved.","A assinatura foi salva com sucesso"
"There was a problem with the subscription","Ocorreu um problema com a assinatura"
"There was a problem with the subscription: %s","Ocorreu um problema com a assinatura: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com cancelamento de assinatura."
"There was an error while saving your subscription","Ocorreu um problema enquanto era salvo sua assinatura"
"Type","Tipo"
"Unsubscribe","Cancelar"
"Unsubscribe Selected","Cancelamentos Selecionados"
"Unsubscribed","Inativo"
"Unsubscription Email Sender","Remetente de Email Cancelamentos"
"Unsubscription Email Template","Modelo de Email Cancelamentos"
"View Newsletter","Visualizar Newsletter"
"Website","Website"
"You have been unsubscribed.","Você foi retirado da lista de assinantes com sucesso."
"Your subscription has been confirmed.","Você foi aceito com sucesso na lista de assinantes."
