"3D Secure Card Validation","3D Segurança Validação Cartão"
"API Login ID","API Login ID"
"Accepted Currency","Moeda aceita"
"Authorize Only","Apenas Autorizar"
"Authorize and Capture","Capturar e Autorizar"
"Authorize.net","Authorize.net"
"Centinel API URL","Centinel API URL"
"Credit Card Types","Tipos de Cartão de Crédito"
"Credit Card Verification","Verificação de Cartão de Crédito"
"Debug","Debug"
"Email Customer","Email cliente"
"Enabled","Habilitar"
"Error in authorizing the payment","Erro ao autorizar pagamento"
"Error in capturing the payment.","Erro ao capturar pagamento."
"Error in payment gateway.","Erro no gateway de pagamento."
"Error in refunding the payment","Erro ao reembolsar pagamento"
"Error in refunding the payment.","Erro ao reembolsar pagamento."
"Error in retrieving the transaction","Erro ao recuperar transação"
"Fraud order status","Status do pedido fraude"
"Gateway error: %s","Erro de Gateway: %s"
"Invalid amount for authorization","Total inválido para autorização"
"Invalid amount for authorization.","Total inválido para autorização."
"Invalid transaction ID.","Transação invalida ID."
"Live: <strong>https://payflowpro.paypal.com/transaction</strong><br />Test: <strong>https://pilot-payflowpro.paypal.com/transaction</strong>","Ao vivo: <strong>https://payflowpro.paypal.com/transaction</strong><br />Testar: <strong>https://pilot-payflowpro.paypal.com/transaction</strong>"
"Maximum Order Total","Máximo Total do Pedido"
"Merchant Login","Login Vendedor"
"Merchant's Email","Email vendedor"
"Minimum Order Total","Mínimo Total do Pedido"
"New Order Status","Novo status pedido"
"Partner","Parceiro"
"Password","Senha"
"Payflow Pro","Payflow Pro"
"Payment Action","Ação Pagamento"
"Payment authorization error.","Erro autorização pagamento."
"Payment authorization transaction has been declined.","Transação de pagamento autorizada foi desfeita."
"Payment from Applicable Countries","Pagamento permitido para os países"
"Payment from Specific Countries","Pagamento específico para os países"
"Proxy Host","Host Proxy"
"Proxy Port","Porta Proxy"
"Severe 3D Secure Card Validation","Segurança Rigorosa 3D Validação de Cartão"
"Sort Order","Ordenar"
"TENDER","PROPOSTA"
"Test Mode","Modo Teste"
"Title","Título"
"Transaction Key","Chave de Transação"
"URL","URL"
"Use Proxy","Usar Proxy"
"User","Usuário"
"VERBOSITY","VERBOSIDADE"
"Voided transaction","Transação Anulada"
