"%s %s cycle.","%s %s ciclo."
"--Please Select--","Selecione..."
"3D Secure Card Validation","Validação 3D Secure"
"3D Secure Credit Card Validation","3D Secure - Segurança na Validação de Cartões de Crédito"
"<label>Make Check payable to:</label> %s","<label>Fazer cheque nominal para:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Fazer cheque nominal para</label>: %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é obrigatório para o modo real. Reveja os termos do seu CardinalCommerce."
"Allow Initial Fee Failure","Permitir Falha Inicial Taxa"
"An internal reference ID is required to save the payment profile.","Um ID de referência interna é obrigatório para salvar o perfil de pagamento."
"Auto Bill on Next Cycle","Cobrança Automática no Próximo Período"
"Automatically Invoice All Items","Faturar Automaticamente"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Acumular automaticamente débitos em aberto na próxima fatura (se houve falha no pagamento)."
"Billing Agreement status is not set.","Status do Termo de Cobrança não foi informado."
"Billing Amount","Valor da Cobrança"
"Billing Frequency","Frequência de Cobrança"
"Billing Period","Período de Cobrança"
"Billing Period Unit","Período de Cobrança da Unidade"
"Billing period unit is not defined or wrong.","Período de cobrança da unidade não foi informado ou está incorreto."
"Cannot load configuration for payment method ""%s""","Não foi possível carregar as configurações do método de pagamento ""%s"""
"Cannot retrieve payment method instance.","Não foi possível recuperar instancia do método de pagamento."
"Cannot retrieve the payment info model object.","Não foi possível recuperar informações de pagamento do modelo de objeto."
"Cannot retrieve the payment method model object.","Não foi possível recuperar objeto do modelo de pagamento."
"Card Verification Number","Número de Segurança"
"Centinel API URL","URL da API Centinel"
"Check / Money Order","Dinheiro / Cheque"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Credito"
"Currency","Moeda"
"Currency code is undefined.","Código da moeda não reconhecido."
"Customer ID is not set.","ID do Cliente não foi marcado."
"Day","Dia"
"Debug Mode","Modo Debug"
"Enabled","Habilitado"
"Expiration Date","Data de Expiração"
"Expiration Date: %s/%s","Data de Expiração: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nome completo da pessoa que recebe o produto ou serviço para pagamento recursivo."
"Initial Fee","Taxa Inicial"
"Initial non-recurring payment amount due immediately upon profile creation.","Valor do pagamento inicial não recorrente devido imediatamente após criação do perfil."
"Internal Reference ID","ID de Referência Interna"
"Issue Number","Número de Segurança"
"Make Check Payable to","Marcar pagamento para"
"Make Check payable to: %s","Marcar pagamento para: %s"
"Maximum Billing Cycles","Período Máximo de Cobranças"
"Maximum Order Total","Total Máximo do Pedido"
"Maximum Payment Failures","Máximo de Falhas no Pagamento"
"Maximum Trial Billing Cycles","Máximo de Períodos de Cobranças Temporárias"
"Merchant Id","Id do Vendedor"
"Minimum Order Total","Total Mínimo do Pedido"
"Month","Mês"
"N/A","N/A"
"Name on Card","Nome no Cartão"
"Name on the Card","Nome no Cartão"
"Name on the Card: %s","Nome no Cartão: %s"
"New Order Status","Novo status do pedido"
"Number of billing periods that make up one billing cycle.","Número de períodos de cobrança que compõem um ciclo de cobrança."
"Not supported currency code %s.","Código da moeda não suportado %s."
"Overrides API URL that may be specified by a payment method.","Sobrescrever API URL pode ser especificado por um método de pagamento."
"Password","Senha"
"Payment ID: %s","ID do Pagamento: %s"
"Payment Method","Forma de Pagamento"
"Payment Methods","Formas de Pagamento"
"Payment Methods Section","Seção de Formas de Pagamento"
"Payment Reference ID","ID de Referência de Pagamento"
"Payment Services","Serviços de Pagamento"
"Payment from Applicable Countries","Pagamento para Países selecionados"
"Payment from Specific Countries","Pagamento para Países específicos"
"Payment method code is not set.","Código do Método de Pagamento não foi informado."
"Payment method code is undefined.","Código do método de pagamento não informado."
"Payment profile is invalid:\n%s","Perfil de pagamento é inválido:\n%s"
"Processor Id","Id do Processo"
"Purchase Order","Ordem de Compra"
"Purchase order","Ordem da compra"
"Purchase Order Number","Número da Ordem da Compra"
"Purchase Order Number:","Número da Ordem da Compra"
"Purchase Order Number: %s","Número da Ordem da Compra: %s"
"Recurring Profile Start Date","Perfil Recorrente Data de Início"
"Recurring profile start date has invalid format.","Perfil recorrente data de início possui um formato inválido."
"Reference ID is not set.","ID de Referência não informado."
"Repeats %s time(s).","Repetir %s vez(es)."
"Repeats until suspended or canceled.","Repetir até suspender ou cancelar."
"Request Card Security Code","Solicitar Código do Cartão de Segurança"
"Saved CC","CC Salvo"
"Schedule Description","Descrição Agenda"
"Schedule description must be not empty.","Descrição da agenda precisa ser preenchido."
"Send Check to","Enviar Verificação para"
"Send Check to:","Enviar Verificação para:"
"Severe 3D Secure Card Validation","Validação Severe 3D Secure Card"
"Severe validation removes chargeback liability on merchant.","Validação forte remove responsabilidade chargeback do vendedor."
"Shipping Amount","Valor da Entrega"
"Short description of the recurring payment. By default equals to the product name.","Resumo da descrição do pagamento recursivo. Por padrão igual ao nome do produto."
"Sort Order","Ordem"
"Start Date","Data de Início"
"Start date has invalid format.","Data de início possui um formato inválido."
"Start date is undefined.","Data de início não informada."
"Subscriber Name","Nome do Assinante"
"Switch/Solo Issue Number","Switch/Solo Número de Segurança"
"Switch/Solo Only","Switch/Solo Apenas"
"Switch/Solo Start Date","Switch/Solo Data de Início"
"Tax Amount","Valor da Taxa"
"Test Mode","Modo de Teste"
"The date when billing for the profile begins.","O data em que inicia a cobrança do perfil."
"The number of billing cycles for payment period.","O número de períodos de cobrança para pagamento por período."
"The number of scheduled payments that can fail before the profile is automatically suspended.","O número de pagamentos agendados que podem falhar antes do perfil ser automaticamente suspenso."
"The payment review action is unavailable.","A ação de análise do pagamento não está disponível."
"Title","Titulo"
"Trial Billing Amount","Valor Temporário de Cobrança"
"Trial Billing Frequency","Frequência de Cobrança Temporária"
"Trial Billing Period Unit","Período Único de Cobrança Temporária"
"Trial Period","Período Temporário"
"Trial billing period unit is wrong.","O período único de cobrança temporária está errado."
"Two Weeks","Duas Semanas"
"Unable to save Billing Agreement:","Não foi possível salvar os Termos de Cobrança:"
"Unit for billing during the subscription period.","Unidade de cobrança durante o período de assinatura."
"Unsupported currency code: %s.","Código da moeda não reconhecido: %s."
"Week","Semana"
"What is this?","O que é isso?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Suspender o perfil de pagamento se a taxa inicial falhar ou adicionar ao saldo remanescente."
"Wrong %s specified.","Especificação %s errada."
"Wrong or empty billing amount specified.","Valor de cobrança informado está errado ou vazio."
"Year","Ano"
"Zero Subtotal Checkout","Fechar Pedido com Subtotal Zero"
