"%d Review(s)","%d Comentário(s)"
"%s Review(s)","%s Comentário(s)"
"(Posted on %s)","(Postado em %s)"
"1 star","1 estrela"
"2 stars","2 estrelas"
"3 stars","3 estrelas"
"4 stars","4 estrelas"
"5 stars","5 estrelas"
"Add New Review","Criar Comentário"
"Add Your Review","Comentar"
"Administrator","Administrador"
"All Reviews","Todos Comentários"
"All Reviews of Customer `%s`","Comentários do Cliente `%s`"
"Allow Guests to Write Reviews","Permitir comentários de visitantes"
"Are you sure you want to do this?","Tem certeza de que deseja fazer isso?"
"Are you sure?","Você tem certeza?"
"Average Customer Rating","Média de avaliação dos clientes"
"Average Customer Rating:","Média de avaliação dos clientes:"
"Back","Voltar"
"Back to Main Product Info","Voltar"
"Back to My Reviews","Voltar"
"Back to Product Reviews","Voltar"
"Be the first to review this product","Dê Sua Opinião Sobre o Produto"
"Catalog Product Review View","Visualizar comentários dos produtos do catálogo"
"Catalog Product Reviews List","Listar comentários dos produtos do catálogo"
"Created On","Criado em"
"Customer","Cliente"
"Customer My Account Product Reviews","Cliente Minha Conta Produtos Comentários"
"Customer My Account Review Details","Cliente Minha Conta Comentários Detalhes"
"Customer Reviews","Comentários"
"Delete","Excluir"
"Delete Review","Excluir"
"Detailed Rating","Detalhes da Avaliação"
"Edit Review '%s'","Editar Comentário '%s'"
"Guest","Visitante"
"How do you rate this product?","Como você avalia este produto?"
"ID","ID"
"Manage Ratings","Avaliações"
"My Product Reviews","Meus Comentários"
"My Recent Reviews","Comentei Recentemente"
"Name","Nome"
"Name in Store","Nome na Loja"
"New Review","Novo Comentário"
"Nickname","Apelido"
"Pending Reviews","Pendentes"
"Pending Reviews","Comentários Pendentes"
"Pending Reviews of Customer `%s`","Comentário pendente para o cliente `%s`"
"Please select a product","Por favor selecione um produto"
"Please select one of each of the ratings above","Por favor selecione uma das opções abaixo"
"Posted By","Enviado por"
"Price","Preço"
"Product","Produto"
"Product Name","Produto(s)"
"Product Rating","Avaliação do Produto"
"Product Rating:","Avaliação do Produto:"
"Product Review (submitted on %s):","Comentário do Produto (enviado em %s):"
"Product Reviews","Comentar Produto"
"Product SKU","Produto SKU"
"Qty","Qtd"
"Rating:","Avaliação:"
"Review","Comentário"
"Review (submitted on %s):","Comentário (enviado em %s):"
"Review Details","Detalhes do Comentário"
"Review by <span>%s</span>","Comentado por <span>%s</span>"
"Reviews and Ratings","Avaliações e Comentários"
"SKU","SKU"
"Save Review","Salvar"
"Status","Status"
"Submit Review","Enviar Comentário"
"Summary Rating","Resumo da Avaliação"
"Summary of Review","Resumo do Comentário"
"Summary of Your Review","Título"
"Summary of review","Resumo do Comentário"
"Title","Título"
"Type","Tipo"
"Unable to post the review.","Não foi possível enviar o comentário."
"Unable to post review. Please, try again later.","Não foi possível enviar o comentário. Por favor, tente novamente."
"Update Status","Alterar Status..."
"View All Reviews","Ver todos"
"View Details","Visualizar"
"Visible In","Visível em"
"Websites","Sistemas"
"Write Your Own Review","Queremos saber sua opinião"
"You have submitted no reviews.","Você não fez nenhum comentário."
"You're reviewing:","Produto:"
"Your Rating:","Sua avaliação:"
"Your Review (submitted on %s):","Seu Comentário (enviado em %s):"
"Your review has been accepted for moderation.","Seu comentário aguarda aprovação."
