"%s is not a supported currency.","%s moeda não é suportada."
"Accept","Aceito"
"Basic","Básico"
"Cannot retrieve rate from %s to %s.","Não é possível recuperar taxa de %s para %s."
"Cannot retrieve rate from Strikeiron.","Não é possível recuperar taxa do Strikeiron."
"Check All Email Servers","Verificar Todos os e-mails do Servidor"
"Complete","Completo"
"Country/Region/Postal Code Combination","País/Região/Cep Combinação"
"Customer Tax Class","Classe de Impostos de Cliente"
"Email Verification","Verificação de e-mail"
"Enable Email Verification","Verificação de Email Habilitado"
"Enable Foreign Exchange Rate","Taxa de Câmbio Estrangeira Habilitado"
"Enable Global Address Verification","Verificação de Endereço Global Habilitado"
"Enable Sales and Use Tax","Habilitar Vendas e Uso de Taxas"
"Enable US Address Verification","Habilitar Verificação de Endereço Americano"
"Error Address Action","Erro Ação Endereço"
"Error Email Recipient","Erro Destinatário de e-mail"
"Error Email Sender","Erro Remetente de e-mail"
"Error Email Template","Erro Modelo de e-mail"
"Foreign Exchange Rates","Taxa de Câmbio Estrangeiro"
"Global Address Verification","Verificação de Endereço Global"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","Se o tipo está completo e o código do cep permite múltiplas taxas de impostos, escolha o custo mínimo para a taxa de imposto ou a taxa máxima do imposto."
"Invalid email address.","Endereço de e-mail inválido."
"Maximum Tax Rate","Taxa de Imposto Máxima"
"Minimum Tax Rate","Taxa de Imposto Mínima"
"Password","Senha"
"Pop up warning and accept","Pop up alertando e aceitando"
"Product Tax Class","Classe de Imposto do Produto"
"Reject","Rejeitado"
"Sales and Use Tax","Vendas e Taxas Usadas"
"Sales and Use Tax Type","Vendas e Tipo de Imposto Usado"
"Strikeiron","Strikeiron"
"Strikeiron Config","Strikeiron Config"
"Strikeiron Section","Strikeiron Sessão"
"Strikeiron foreign exchange rate is disabled.","Strikeiron taxa de câmbio estrangeira está desabilitado."
"Tax","Taxa"
"The email address cannot be verified. Please check again and make sure your email address is entered correctly.","O endereço de e-mail não pode ser verificado. Verifique novamente e certifique-se que seu endereço de e-mail está digitado corretamente."
"There are no more hits remaining for the foreign Exchange Rate Service.","Não há mais acertos restantes para o serviço de taxa de câmbio estrangeiro."
"There is an error in retrieving the tax rate. Please contact us.","Ocorreu um erro ao recuperar taxa de imposto. Por favor entre em contato."
"There is an error in verifying an email. Please contact us.","Ocorreu um erro ao verificar o email. Por favor entre em contato."
"There is no response back from Strikeiron server.","Não houve respostas do servidor Strikeiron."
"US Address Verification","Verificação de Endereço Americano"
"Undetermined Email Action","Ação de e-mail Indeterminado"
"Use","Usar"
"User ID","ID do Usuário"
"Verify Address in Admin","Verificar Endereço na Administração"
"Verify Email in Admin","Verificar e-mail na Administração"
