"All Websites","Todos os Sistemas"
"Apply Discounts To FPT","Aplicar Desconto para FPT"
"Apply Tax To FPT","Aplicar Imposto para FPT"
"Display Prices In Emails","Mostrar Preços nos Emails"
"Display Prices In Product Lists","Mostrar Preços na Lista de Produtos"
"Display Prices In Sales Modules","Mostrar Preços nos Módulos de Vendas"
"Display Prices On Product View Page","Mostrar Preços na Visualização de Produtos"
"Enable FPT","Habilitar FPT"
"Excluding FPT","Excluir FPT"
"Excluding FPT, FPT description, final price","Excluir FPT, descrição FPT, preço final"
"Fixed Product Tax","Imposto Fixo no Produto"
"Fixed Product Taxes","Impostos Fixos no Produto"
"Include FPT In Subtotal","Incluir Subtotal para FPT"
"Including FPT and FPT description","Incluir FPT e descrição FPT"
"Including FPT and FPT description [incl. FPT VAT]","Incluir FPT e descrição FPT [incl. FPT VAT]"
"Including FPT only","Incluir apenas FPT"
"Total","Total"
"Total Incl. Tax","Total Incl. Imposto"
"Total incl. tax","Total incl. imposto"
