"All Credit Cards / Visa, Mastercard, AMEX, JCB, Diners (powered by Moneybookers) - International","Todos os Cartões de Crédito / Visa, Mastercard, AMEX, JCB, Diners (por Moneybookers) - Internacional"
"All Polish Banks","Todos os Bancos Polonês"
"CartaSi","CartaSi"
"CartaSi (powered by Moneybookers) - Italy","CartaSi (por Moneybookers) - Itália"
"Carte Bleue","Carte Bleue"
"Carte Bleue (powered by Moneybookers) - France","Carte Bleue (por Moneybookers) - França"
"Credit Card / Visa, Mastercard, AMEX, JCB, Diners","Cartão de Crédito / Visa, Mastercard, AMEX, JCB, Diners"
"Customer ID","ID do Cliente"
"Customer was redirected to Moneybookers.","Clientes redirecionados para Moneybookers."
"Dankort","Dankort"
"Dankort (powered by Moneybookers) - Denmark","Dankort (por Moneybookers) - Dinamarca"
"EPS Online-Überweisung","EPS Online-Überweisung"
"EPS Online-Überweisung (powered by Moneybookers) - Austria","EPS Online-Überweisung (por Moneybookers) – Áustria"
"Enabled","Habilitado"
"Giropay","Giropay"
"Giropay (powered by Moneybookers) - Germany","Giropay (por Moneybookers) - Alemanha"
"Laser","Laser"
"Laser (powered by Moneybookers) - Ireland","Laser (por Moneybookers) - Irlanda"
"Lastschrift (ELV)","Lastschrift (ELV)"
"Lastschrift (ELV) (powered by Moneybookers) - Germany","Lastschrift (ELV) (por Moneybookers) - Alemanha"
"Loading secure payment page (SSL)","Carregando página de pagamento seguro (SSL)"
"Moneybookers","Moneybookers"
"Moneybookers Info URL","URL Info Moneybookers"
"Moneybookers Settings","Opções Moneybookers"
"Moneybookers Transaction ID: %s","ID Transação Moneybookers: %s"
"Moneybookers eWallet","Moneybookers eWallet"
"More information about Moneybookers","Mais informações sobre Moneybookers"
"Nordea Solo","Nordea Solo"
"Nordea Solo (powered by Moneybookers) - Finland","Nordea Solo (por Moneybookers) - Finlândia"
"Nordea Solo (powered by Moneybookers) - Sweden","Nordea Solo (por Moneybookers) - Suécia"
"Order ID","ID do Pedido"
"POLi","POLi"
"POLi (powered by Moneybookers) - Australia","POLi (por Moneybookers) - Austrália"
"Payment failed.","Falha no Pagamento."
"Payment from Applicable Countries","Permitido para Países"
"Payment from Specific Countries","Países Específicos"
"Payment has not been processed yet.","Pagamento ainda não foi processado."
"Payment was canceled.","Pagamento foi cancelado."
"Pending bank transfer created.","Transferência bancária pendente."
"Please pay your order now","Você já pode efetuar seu pagamento"
"Postepay","Postepay"
"Postepay (powered by Moneybookers) - Italy","Postepay (por Moneybookers) - Itália"
"Przelewy24 (powered by Moneybookers) - Poland","Przelewy24 (por Moneybookers) - Polônia"
"Sofortüberweisung","Sofortüberweisung"
"Sofortüberweisung (powered by Moneybookers) - Germany","Sofortüberweisung (por Moneybookers) - Alemanha"
"Sort Order","Ordem"
"The amount has been authorized and captured by Moneybookers.","O valor foi capturado e autorizado pela Moneybookers."
"The customer was redirected to Moneybookers.","O cliente foi redirecionado para Moneybookers."
"The order has been canceled.","O pedido foi cancelado."
"Title","Título"
"You will be redirected to our secure payment page when you place an order.","Você será redirecionado para página de pagamento seguro ao finalizar seu pedido."
"eNETS","eNETS"
"eNETS (powered by Moneybookers) - Singapore","eNETS (por Moneybookers) - Cingapura"
"iDeal","iDeal"
"iDeal (powered by Moneybookers) - Netherlands","iDeal (por Moneybookers) - Holanda"
